"TOA5","Irgason_garden","CR1000X","70307","CR1000X.8.2.1","CPU:EasyFlux_TGAOPEC_CR1KXE_V0_0605_2025_Enc.CR1X","56716","AmrFlux"
"TIMESTAMP","RECORD","TIMESTAMP_START","TIMESTAMP_END","CH4","CH4_SIGMA","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FCH4","FCH4_SSITC_TEST","FC","FC_SSITC_TEST","FH2O","FH2O_SSITC_TEST","LE","LE_SSITC_TEST","H","H_SSITC_TEST","FETCH_MAX","FETCH_90","FETCH_80","FETCH_70","FETCH_FILTER","MO_LENGTH","TAU","TAU_SSITC_TEST","U_SIGMA","USTAR","V_SIGMA","W_SIGMA","WD","WS","WS_MAX","zL","PA","TA_1_1_1","RH_1_1_1","TA_1_1_2","RH_1_1_2","TA_1_1_3","RH_1_1_3","VPD","T_SONIC","T_SONIC_SIGMA","PBLH_F","ALB","NETRAD","SW_IN","SW_OUT","LW_IN","LW_OUT","P"
"TS","RN","","","nmolCH4 mol-1","nmolCH4 mol-1","umolCO2 mol-1","umolCO2 mol-1","mmolH2O mol-1","mmolH2O mol-1","nmolCH4 m-2 s-1","adimensional","umolCO2 m-2 s-1","adimensional","mmolH2O m-2 s-1","adimensional","W m-2","adimensional","W m-2","adimensional","m","m","m","m","adimensional","m","kg m-1 s-2","adimensional","m s-1","m s-1","m s-1","m s-1","decimal degrees","m s-1","m s-1","adimensional","kPa","deg C","%","deg C","%","deg C","%","hPa","deg C","deg C","m","%","W m-2","W m-2","W m-2","W m-2","W m-2","mm"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Tot"
"2025-06-06 07:30:00",28,202506060700,202506060730,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",14.27302,58.36499,"NAN","NAN","NAN","NAN",24.33805,89.52015,229.3787,57.5227,314.8317,397.1675,0
"2025-06-06 08:00:00",29,202506060730,202506060800,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",14.86739,54.76403,"NAN","NAN","NAN","NAN",23.11423,108.3868,258.1635,61.35814,318.9476,407.3662,0
"2025-06-12 08:30:00",0,202506120828,202506120830,"NAN","NAN",465.7432,0.6380854,14.76661,0.2271682,"NAN","NAN",-1.21664,0,1.789922,0,79.22879,0,177.6107,0,12.71715,115.0969,66.00301,46.26448,1,-11.43246,-0.0936753,0,0.5415467,0.3016652,0.4351016,0.3215054,107.9679,2.535925,3.899687,-0.1875476,86.67386,19.13842,57.63709,18.59791,59.54018,18.44383,61.36529,0.8729483,19.97779,0.7756476,2118.918,24.2331,337.6003,623.2921,151.0424,328.2528,462.9023,0
"2025-06-12 09:00:00",1,202506120830,202506120900,"NAN","NAN",455.9471,5.038736,14.22677,0.3585831,"NAN","NAN",-2.053244,0,1.447044,0,64.02293,0,145.9397,0,10.0693,70.32432,43.07704,31.43116,1,-2.194636,-0.02730549,0,0.7182791,0.1629965,0.9685953,0.2811283,117.6024,1.830139,3.961556,-0.9769866,86.65863,19.61919,53.90685,19.06501,55.73023,19.1016,56.53439,0.9844812,20.39618,0.8966244,2426.845,23.56272,370.9203,670.9231,158.5201,332.1654,473.648,0
"2025-06-12 09:30:00",2,202506120900,202506120930,"NAN","NAN",440.7523,2.700792,14.03251,0.3687083,"NAN","NAN",-1.117679,0,1.463611,0,64.69428,0,135.8098,0,13.37206,86.79729,54.15107,39.8043,1,-1.358886,-0.01887564,1,0.6634229,0.1357504,0.8531829,0.2828259,103.959,1.99307,3.896526,-1.577858,86.65059,20.52209,50.25068,20.05322,51.66468,19.93792,52.9719,1.142035,21.37057,0.940352,2454.704,22.43183,359.3509,653.2846,150.0179,335.7877,479.7035,0
"2025-06-12 10:00:00",3,202506120930,202506121000,"NAN","NAN",439.7802,4.438555,14.12491,0.6098074,"NAN","NAN",-5.342548,0,2.622262,0,115.7206,0,198.4359,0,6.554141,56.28473,32.82763,23.18979,1,-6.394432,-0.06815295,0,0.7336666,0.2587084,0.9649531,0.3401206,148.1119,1.739744,6.294763,-0.335312,86.63976,22.20738,45.6167,21.73742,46.88829,21.61336,46.6693,1.392503,23.07117,1.075911,2286.852,22.46204,472.0824,825.6398,185.725,340.8555,508.6879,0
"2025-06-12 10:30:00",4,202506121000,202506121030,"NAN","NAN",441.1067,2.099298,13.41247,0.5811211,"NAN","NAN",-1.224011,0,2.700734,0,119.0391,0,200.7942,0,6.807094,58.63528,34.12188,24.13246,1,-6.606125,-0.06997026,0,0.880743,0.2626797,0.7943541,0.3254775,139.9586,1.742809,4.619722,-0.3245669,86.6246,23.48691,40.12943,22.99311,41.27156,22.93644,39.43714,1.662512,24.26457,1.119157,2279.796,21.98533,493.3718,863.1386,189.744,342.711,522.7337,0
"2025-06-12 11:00:00",5,202506121030,202506121100,"NAN","NAN",437.8575,0.8174362,12.34894,0.6575164,"NAN","NAN",-0.6667867,0,2.231392,0,98.24229,0,162.5148,0,13.01573,88.77188,54.69711,39.93743,1,-2.161963,-0.02878322,1,0.9768031,0.1687927,0.8329786,0.3245178,105.7125,2.10086,4.850565,-0.9917513,86.60233,24.79571,34.14385,24.14814,35.42849,24.33938,33.28699,1.957032,25.32273,0.9739096,2427.935,21.72524,526.4988,913.3259,198.4332,348.6775,537.0714,0
"2025-06-12 11:30:00",6,202506121100,202506121130,"NAN","NAN",435.6044,1.174335,11.13709,0.8970084,"NAN","NAN",-0.976826,0,3.222893,0,141.6796,0,184.8906,0,3.297776,31.28081,17.91113,12.54251,1,-6.973577,-0.06862589,1,0.9247954,0.2613134,1.095578,0.3192849,126.6625,1.538653,4.34631,-0.3074648,86.5668,26.41189,27.95791,25.71994,29.04294,25.8377,27.2396,2.360276,26.78439,1.05847,2267.547,21.51236,534.7911,932.0005,200.8186,355.7193,552.11,0
"2025-06-12 12:00:00",7,202506121130,202506121200,"NAN","NAN",435.5291,0.7202582,10.29945,0.717189,"NAN","NAN",-0.6743157,0,4.092499,0,179.7238,0,231.244,0,9.503122,71.5373,43.05157,31.02775,1,-3.686174,-0.0519537,0,1.445654,0.2277625,1.008081,0.346054,88.88818,2.223734,5.927969,-0.581668,86.54272,27.48063,24.26807,26.77521,25.22203,26.96101,23.61533,2.647861,27.76277,1.159999,2377.127,21.32376,518.0638,903.6862,193.9767,365.907,557.5529,0
